x,y,z
16.03412558172861,15.58773491108247,10.85106382978722
16.024188325705907,15.726263362154011,11.010638297872326
15.996385576081325,15.868298200291663,11.170212765957432
15.949958753541477,16.011604547469005,11.329787234042538
15.884421977315688,16.153835431451437,11.489361702127644
15.799576409646328,16.29256437936945,11.64893617021275
15.695520771994127,16.425319707347274,11.808510638297856
15.572657842680218,16.549620063208756,11.968085106382961
15.431696796264596,16.6630107587553,12.127659574468067
15.273651297701688,16.763100413297593,12.287234042553173
15.0998333185588,16.847597421241094,12.446808510638279
14.91184269767235,16.91434575372084,12.606382978723385
14.711552523876223,16.961359607628417,12.76595744680849
14.501090473186625,16.98685642487155,12.925531914893597
14.282816286391922,16.989287820280946,13.085106382978703
14.05929562470714,16.967367978080418,13.244680851063809
13.833270590363345,16.920099104044652,13.404255319148914
13.607627245090155,16.846793553093043,13.56382978723402
13.385360501826979,16.74709228974951,13.723404255319126
13.1695368031183,16.620979381216753,13.882978723404232
12.963255033010775,16.468792269288663,14.042553191489336
12.76960613742937,16.2912276174244,14.202127659574442
12.591631950579956,16.08934258245206,14.361702127659548
12.432283741584461,15.864551415938807,14.521276595744654
12.294381006048418,15.618617357603746,14.68085106382976
12.180571031407558,15.353639841580614,14.840425531914866
12.093289762592848,15.072037095161566,14.999999999999972
12.034724485760774,14.776524268163474,15.159574468085077
12.006778832603743,14.470087288545052,15.319148936170183
12.011040586206969,14.155952695664034,15.47872340425529
12.04875274175221,13.837553755911184,15.638297872340395
12.120788241858206,13.518493215727274,15.797872340425501
12.2276287673376,13.202503093567316,15.957446808510607
12.36934792005292,12.89340195462815,16.11702127659571
12.54559908584648,12.595050149552735,16.27659574468082
12.755608212735432,12.311303530370685,16.436170212765923
12.998171683291458,12.045966183192935,16.59574468085103
13.271659400998317,11.802742737276102,16.755319148936135
13.574023149072834,11.585190823705567,16.914893617021242
13.902810217450337,11.396674263885608,17.074468085106346
14.255182230102452,11.2403175681162,17.234042553191454
14.627939041317084,11.118962317704941,17.393617021276558
15.017547506778067,11.035125990314473,17.553191489361666
15.420174873983793,10.990963767667528,17.71276595744677
15.831726477478863,10.988233837490696,17.872340425531878
16.247887368259036,11.028266667920665,18.03191489361698
16.664167454239642,11.111938692846941,18.19148936170209
17.075949680506397,11.239650801220506,18.351063829787194
17.47854073480786,11.411311972686459,18.5106382978723
17.86722372596092,11.626328346533155,18.670212765957405
18.237312251028605,11.883597951483665,18.829787234042513
18.584205241730952,12.181511260933066,18.989361702127617
18.903441961934355,12.517957672549654,19.148936170212725
19.190756516526513,12.89033794344066,19.30851063829783
19.442131227738322,13.295582543095014,19.468085106382933
19.653848238154687,13.730175816841555,19.62765957446804
19.822538710312443,14.190185783397895,19.787234042553145
19.94522901087969,14.671299322035427,19.946808510638252
19.997172927505027,15.16811523610554,20.106382978723357
19.955424359071287,15.666160207099571,20.265957446808464
19.86416282848721,16.157549125507547,20.42553191489357
19.724300190799354,16.63737219568832,20.585106382978676
19.537233907251043,17.100835184133068,20.74468085106378
19.30483308231161,17.54330732186174,20.904255319148888
19.029419788202343,17.960367573535994,21.063829787233992
18.713745863518454,18.347848810982892,21.2234042553191
18.36096541776746,18.701879449762135,21.382978723404204
17.97460331654959,19.018922132758007,21.54255319148931
17.558519962265883,19.295809074282396,21.702127659574415
17.116872722253472,19.52977371154224,21.861702127659523
16.654074389745393,19.71847834722047,22.021276595744627
16.17474909269928,19.86003750697484,22.180851063829735
15.683686091039336,19.953036778474328,22.34042553191484
15.185791923954302,19.99654694373958,22.499999999999947
14.68604138537976,19.990133263581818,22.65957446808505
14.189427817501585,19.933859821373098,22.81914893617016
13.700913218931392,19.828288882746435,22.978723404255263
13.225378666056642,19.67447527762348,23.138297872340367
12.76757554293883,19.4739558607026,23.297872340425474
12.332078067054562,19.22873415571477,23.45744680851058
11.923237585226543,18.941260336876695,23.617021276595686
11.545139096404505,18.61440674756001,23.77659574468079
11.201560435706014,18.251439200785725,23.936170212765898
10.895934527536765,17.855984348300098,24.095744680851002
10.63131508494469,17.43199344426916,24.25531914893611
10.410346097928612,16.98370286565324,24.414893617021214
10.235235415564159,16.5155917837287,24.57446808510632
10.107732685905619,16.032337409689173,24.734042553191426
10.029111874080947,15.538768261497415,24.893617021276533
10.000158533253302,15.039815918929882,25.053191489361637
10.021161955633538,14.540465748861795,25.212765957446745
10.091912281968039,14.045707093129254,25.37234042553185
10.211702598383017,13.560483416674868,25.531914893616957
10.379335999634272,13.089642914080152,25.69148936170206
10.593137548188734,12.637890068007842,25.85106382978717
10.850971009646646,12.209738643566265,26.01063829787228
11.150260197289528,11.809466588260399,26.170212765957388
11.488014712486306,11.44107328815451,26.329787234042495
11.860859823767932,11.108239607328619,26.489361702127606
12.265070186028687,10.814291109901355,26.648936170212714
12.696607062943045,10.56216483209255,26.80851063829782
13.151158680684002,10.354379936328211,26.96808510638293
13.624183309741879,10.193012540602254,27.12765957446804
14.110954644384282,10.079674974591809,27.28723404255315
14.606609026340676,10.01549966979203,27.446808510638256
15.106194040868106,10.001127844634942,27.606382978723364
15.604717999642265,10.036703097646821,27.765957446808475
16.09719981605719,10.121869972659189,27.925531914893583
16.578718774596116,10.255777510409345,28.08510638297869
17.044463696994317,10.437087751044041,28.2446808510638
17.489781013942,10.66398910257205,28.40425531914891
17.910221262010552,10.934214441692516,28.563829787234017
18.301583541220346,11.245063766141573,28.723404255319124
18.659957489044686,11.593431172222449,28.882978723404236
18.981762351459583,11.975835887968536,29.042553191489343
19.263782760654337,12.388457051866297,29.20212765957445
19.503200861923826,12.827171889640484,29.36170212765956
19.697624468741267,13.287596907651904,29.52127659574467
19.84511096469524,13.765131691316862,29.680851063829778
19.944186713470728,14.255004870928989,29.840425531914885
19.99386178293605,14.752321795608145,29.999999999999996
